Channel,Patch,Mode,Fixture,Purpose,Mode,Location,"Filters, Gobos"
75,A.14,"Control, 1 ch",ETC Source Four 26°,HS AMB <<,"Control, 1 ch",#2 ELECTRIC,"R119, R16"
76,A.15,"Control, 1 ch",ETC Source Four 36°,HS AMB <<,"Control, 1 ch",#2 ELECTRIC,"R119, R16"
77,A.16,"Control, 1 ch",ETC Source Four 19°,HS AMB <<,"Control, 1 ch",#3 ELECTRIC,"R119, R16"
78,A.17,"Control, 1 ch",ETC Source Four 26°,HS AMB <<,"Control, 1 ch",#3 ELECTRIC,"R119, R16"
79,A.18,"Control, 1 ch",ETC Source Four 36°,HS AMB <<,"Control, 1 ch",#3 ELECTRIC,"R119, R16"
81,C.145,"Standard Mode, 36 chs",Elation Artiste Picasso,AP TRUSS MOV //,"Standard Mode, 36 chs",AP TRUSS SR,
82,C.181,"Standard Mode, 36 chs",Elation Artiste Picasso,AP TRUSS MOV //,"Standard Mode, 36 chs",AP TRUSS SR,
83,C.217,"Standard Mode, 36 chs",Elation Artiste Picasso,AP TRUSS MOV //,"Standard Mode, 36 chs",AP TRUSS SR,
84,C.253,"Standard Mode, 36 chs",Elation Artiste Picasso,AP TRUSS MOV \\,"Standard Mode, 36 chs",AP TRUSS SR,
85,C.289,"Standard Mode, 36 chs",Elation Artiste Picasso,AP TRUSS MOV \\,"Standard Mode, 36 chs",AP TRUSS SR,
86,C.325,"Standard Mode, 36 chs",Elation Artiste Picasso,AP TRUSS MOV \\,"Standard Mode, 36 chs",AP TRUSS SR,
91,C.361,"Standard Mode, 36 chs",Elation Artiste Picasso,FOH MOV,"Standard Mode, 36 chs",FOH TRUSS,
92,C.397,"Standard Mode, 36 chs",Elation Artiste Picasso,FOH MOV,"Standard Mode, 36 chs",FOH TRUSS,
93,C.433,"Standard Mode, 36 chs",Elation Artiste Picasso,FOH MOV,"Standard Mode, 36 chs",FOH TRUSS,
94,C.469,"Standard Mode, 36 chs",Elation Artiste Picasso,FOH MOV,"Standard Mode, 36 chs",FOH TRUSS,
101,A.19,"Control, 1 ch",ETC Source Four 19°,FNT DS COOL,"Control, 1 ch",FOH TRUSS,"L201, R119"
102,A.20,"Control, 1 ch",ETC Source Four 19°,FNT DS COOL,"Control, 1 ch",FOH TRUSS,"L201, R119"
103,A.21,"Control, 1 ch",ETC Source Four 19°,FNT DS COOL,"Control, 1 ch",FOH TRUSS,"L201, R119"
104,A.22,"Control, 1 ch",ETC Source Four 19°,FNT DS COOL,"Control, 1 ch",FOH TRUSS,"L201, R119"
105,A.23,"Control, 1 ch",ETC Source Four 19°,FNT DS COOL,"Control, 1 ch",FOH TRUSS,"L201, R119"
111,A.24,"Control, 1 ch",ETC Source Four 19°,FNT DS WRM,"Control, 1 ch",FOH TRUSS,"R02, R119"
112,A.25,"Control, 1 ch",ETC Source Four 19°,FNT DS WRM,"Control, 1 ch",FOH TRUSS,"R02, R119"
113,A.26,"Control, 1 ch",ETC Source Four 19°,FNT DS WRM,"Control, 1 ch",FOH TRUSS,"R02, R119"
114,A.27,"Control, 1 ch",ETC Source Four 19°,FNT DS WRM,"Control, 1 ch",FOH TRUSS,"R02, R119"
115,A.28,"Control, 1 ch",ETC Source Four 19°,FNT DS WRM,"Control, 1 ch",FOH TRUSS,"R02, R119"
121,D.1,"Standard Mode, 36 chs",Elation Artiste Picasso,BALC RAIL ML,"Standard Mode, 36 chs",BALC RAIL,
122,D.37,"Standard Mode, 36 chs",Elation Artiste Picasso,BALC RAIL ML,"Standard Mode, 36 chs",BALC RAIL,
123,D.73,"Standard Mode, 36 chs",Elation Artiste Picasso,BALC RAIL ML,"Standard Mode, 36 chs",BALC RAIL,
201,E.166,"5 Channel Mode, 5 chs",ETC ColorSource Spot 36° EDLT (Deep Blue),SHIN >>,"5 Channel Mode, 5 chs",#1 BOOM SR,R119
202,E.171,"5 Channel Mode, 5 chs",ETC ColorSource Spot 36° EDLT (Deep Blue),SHIN >>,"5 Channel Mode, 5 chs",#2 BOOM SR,R119
203,E.176,"5 Channel Mode, 5 chs",ETC ColorSource Spot 36° EDLT (Deep Blue),SHIN >>,"5 Channel Mode, 5 chs",#3 BOOM SR,R119
204,E.181,"5 Channel Mode, 5 chs",ETC ColorSource Spot 36° EDLT (Deep Blue),SHIN <<,"5 Channel Mode, 5 chs",#1 BOOM SL,R119
205,E.186,"5 Channel Mode, 5 chs",ETC ColorSource Spot 36° EDLT (Deep Blue),SHIN <<,"5 Channel Mode, 5 chs",#2 BOOM SL,R119
206,E.191,"5 Channel Mode, 5 chs",ETC ColorSource Spot 36° EDLT (Deep Blue),SHIN <<,"5 Channel Mode, 5 chs",#3 BOOM SL,R119
211,E.196,"5 Channel Mode, 5 chs",ETC ColorSource Spot 36° EDLT (Deep Blue),HEAD >>,"5 Channel Mode, 5 chs",#1 BOOM SR,R119
212,E.201,"5 Channel Mode, 5 chs",ETC ColorSource Spot 36° EDLT (Deep Blue),HEAD >>,"5 Channel Mode, 5 chs",#2 BOOM SR,R119
213,E.206,"5 Channel Mode, 5 chs",ETC ColorSource Spot 36° EDLT (Deep Blue),HEAD >>,"5 Channel Mode, 5 chs",#3 BOOM SR,R119
214,E.211,"5 Channel Mode, 5 chs",ETC ColorSource Spot 36° EDLT (Deep Blue),HEAD <<,"5 Channel Mode, 5 chs",#1 BOOM SL,R119
215,E.216,"5 Channel Mode, 5 chs",ETC ColorSource Spot 36° EDLT (Deep Blue),HEAD <<,"5 Channel Mode, 5 chs",#2 BOOM SL,R119
216,E.221,"5 Channel Mode, 5 chs",ETC ColorSource Spot 36° EDLT (Deep Blue),HEAD <<,"5 Channel Mode, 5 chs",#3 BOOM SL,R119
221,D.109,"Standard Mode, 36 chs",Elation Artiste Picasso,SIDE MOV BOT,"Standard Mode, 36 chs",#1 BOOM SR,
222,D.145,"Standard Mode, 36 chs",Elation Artiste Picasso,SIDE MOV BOT,"Standard Mode, 36 chs",#2 BOOM SR,
223,D.181,"Standard Mode, 36 chs",Elation Artiste Picasso,SIDE MOV BOT,"Standard Mode, 36 chs",#3 BOOM SR,
224,D.217,"Standard Mode, 36 chs",Elation Artiste Picasso,SIDE MOV BOT,"Standard Mode, 36 chs",#1 BOOM SL,
225,D.253,"Standard Mode, 36 chs",Elation Artiste Picasso,SIDE MOV BOT,"Standard Mode, 36 chs",#2 BOOM SL,
226,D.289,"Standard Mode, 36 chs",Elation Artiste Picasso,SIDE MOV BOT,"Standard Mode, 36 chs",#3 BOOM SL,
231,D.325,"Standard Mode, 36 chs",Elation Artiste Picasso,SIDE MOV TOP,"Standard Mode, 36 chs",#1 BOOM SR,
232,D.361,"Standard Mode, 36 chs",Elation Artiste Picasso,SIDE MOV TOP,"Standard Mode, 36 chs",#2 BOOM SR,
233,D.397,"Standard Mode, 36 chs",Elation Artiste Picasso,SIDE MOV TOP,"Standard Mode, 36 chs",#3 BOOM SR,
234,D.433,"Standard Mode, 36 chs",Elation Artiste Picasso,SIDE MOV TOP,"Standard Mode, 36 chs",#1 BOOM SL,
235,D.469,"Standard Mode, 36 chs",Elation Artiste Picasso,SIDE MOV TOP,"Standard Mode, 36 chs",#2 BOOM SL,
236,B.1,"Standard Mode, 36 chs",Elation Artiste Picasso,SIDE MOV TOP,"Standard Mode, 36 chs",#3 BOOM SL,
301,E.226,"RGB All Mode, 3 chs",Chroma-Q Studio Force II V72,CYC BOTTOM,"RGB All Mode, 3 chs",,
302,E.229,"RGB All Mode, 3 chs",Chroma-Q Studio Force II V72,CYC BOTTOM,"RGB All Mode, 3 chs",,
303,E.232,"RGB All Mode, 3 chs",Chroma-Q Studio Force II V72,CYC BOTTOM,"RGB All Mode, 3 chs",,
304,E.235,"RGB All Mode, 3 chs",Chroma-Q Studio Force II V72,CYC BOTTOM,"RGB All Mode, 3 chs",,
305,E.238,"RGB All Mode, 3 chs",Chroma-Q Studio Force II V72,CYC BOTTOM,"RGB All Mode, 3 chs",,
306,E.241,"RGB All Mode, 3 chs",Chroma-Q Studio Force II V72,CYC BOTTOM,"RGB All Mode, 3 chs",,
